Date,Discount
7/10/23,-17.92
7/11/23,-17.97
7/12/23,-16.61
7/13/23,-16.5
7/14/23,-16.65
7/17/23,-16.65
7/18/23,-16.58
7/19/23,-17.32
7/20/23,-16.84
7/21/23,-16.63
7/24/23,-16.4
7/25/23,-16.14
7/26/23,-16.18
7/27/23,-16.16
7/28/23,-16.21
7/31/23,-16.19
8/1/23,-16.08
8/2/23,-16.23
8/3/23,-16.26
8/4/23,-16.15
8/7/23,-16.16
8/8/23,-16.38
8/9/23,-16.5
8/10/23,-16.28
8/11/23,-16.17
8/14/23,-16.11
8/15/23,-15.83
8/16/23,-15.42
8/17/23,-15.44
8/18/23,-15.77
8/21/23,-15.87
8/22/23,-16.08
8/23/23,-16.56
8/24/23,-16.93
8/25/23,-16.92
8/28/23,-17.12
8/29/23,-17.27
8/30/23,-17.42
8/31/23,-17.41
9/1/23,-17.5
9/4/23,-17.46
9/5/23,-17.22
9/6/23,-17.18
9/7/23,-17.05
9/8/23,-16.86
9/11/23,-16.87
9/12/23,-16.96
9/13/23,-16.83
9/14/23,-17.03
9/15/23,-17.12
9/18/23,-17.03
9/19/23,-16.91
9/20/23,-16.46
9/21/23,-16.18
9/22/23,-16.05
9/25/23,-16.17
9/26/23,-16.38
9/27/23,-16.37
9/28/23,-16.01
9/29/23,-15.65
10/2/23,-15.2
10/3/23,-14.72
10/4/23,-14.41
10/5/23,-14.46
10/6/23,-14.53
10/9/23,-14.58
10/10/23,-14.65
10/11/23,-15.11
10/12/23,-15.07
10/13/23,-15.3
10/16/23,-15.11
10/17/23,-15.46
10/18/23,-15.45
10/19/23,-15.77
10/20/23,-15.26
10/23/23,-15.09
10/24/23,-14.75
10/25/23,-15.03
10/26/23,-14.69
10/27/23,-15.32
10/30/23,-16.11
10/31/23,-15.44
11/1/23,-14.83
11/2/23,-15.09
11/3/23,-14.66
11/6/23,-14.08
11/7/23,-14.47
11/8/23,-14.56
11/9/23,-14.31
11/10/23,-14.37
11/13/23,-14.69
11/14/23,-14.91
11/15/23,-15.21
11/16/23,-15.48
11/17/23,-16.03
