Date,Discount
2/7/22,92.69
2/8/22,90.78
2/9/22,91.55
2/10/22,91.41
2/11/22,94.44
2/14/22,96.48
2/15/22,93.28
2/16/22,94.81
2/17/22,92.97
2/18/22,93.54
2/21/22,95.39
2/22/22,96.84
2/23/22,96.84
2/24/22,99.08
2/25/22,97.93
2/28/22,100.99
3/1/22,104.97
3/2/22,112.93
3/3/22,110.46
3/4/22,118.11
3/7/22,123.21
3/8/22,127.98
3/9/22,111.14
3/10/22,109.33
3/11/22,112.67
3/14/22,106.9
3/15/22,99.91
3/16/22,98.02
3/17/22,106.64
3/18/22,107.93
3/21/22,115.62
3/22/22,115.48
3/23/22,121.6
3/24/22,119.03
3/25/22,120.65
3/28/22,112.48
3/29/22,110.23
3/30/22,113.45
3/31/22,107.91
4/1/22,104.39
4/4/22,107.53
4/5/22,106.64
4/6/22,101.07
4/7/22,100.58
4/8/22,102.78
4/11/22,98.48
4/12/22,104.64
4/13/22,108.78
4/14/22,111.7
4/15/22,111.7
4/18/22,113.16
4/19/22,107.25
4/20/22,106.8
4/21/22,108.33
4/22/22,106.65
4/25/22,102.32
4/26/22,104.99
4/27/22,105.32
4/28/22,107.59
4/29/22,109.34
5/2/22,107.58
5/3/22,104.97
5/4/22,110.14
5/5/22,110.9
5/6/22,112.39
5/9/22,105.94
5/10/22,102.46
5/11/22,107.51
5/12/22,107.45
5/13/22,111.55
5/16/22,114.24
5/17/22,111.93
5/18/22,109.11
5/19/22,112.04
5/20/22,112.55
5/23/22,113.42
5/24/22,113.56
5/25/22,114.03
5/26/22,117.4
5/27/22,119.43
5/30/22,121.67
5/31/22,122.84
6/1/22,116.29
6/2/22,117.61
6/3/22,119.72
6/6/22,119.51
6/7/22,120.57
6/8/22,123.58
6/9/22,123.07
6/10/22,122.01
6/13/22,122.27
6/14/22,121.17
6/15/22,118.51
6/16/22,119.81
6/17/22,113.12
6/20/22,114.13
6/21/22,114.65
6/22/22,111.74
6/23/22,110.05
6/24/22,113.12
6/27/22,115.09
6/28/22,117.98
6/29/22,116.26
6/30/22,114.81
7/1/22,111.63
7/4/22,113.5
7/5/22,102.77
7/6/22,100.69
7/7/22,104.65
7/8/22,107.02
7/11/22,107.1
7/12/22,99.49
7/13/22,99.57
7/14/22,99.1
7/15/22,101.16
7/18/22,106.27
7/19/22,107.35
7/20/22,106.92
7/21/22,103.86
7/22/22,103.2
7/25/22,105.15
7/26/22,104.4
7/27/22,106.62
7/28/22,107.14
7/29/22,110.01
8/1/22,100.03
8/2/22,100.54
8/3/22,96.78
8/4/22,94.12
8/5/22,94.92
8/8/22,96.65
8/9/22,96.31
8/10/22,97.4
8/11/22,99.6
8/12/22,98.15
8/15/22,95.1
8/16/22,92.34
8/17/22,93.65
8/18/22,96.59
8/19/22,96.72
8/22/22,96.48
8/23/22,100.22
8/24/22,101.22
8/25/22,99.34
8/26/22,100.99
8/29/22,105.09
8/30/22,99.31
