Dates,Discount
1/25/23,-38.568
1/24/23,-38.718
1/23/23,-38.865
1/20/23,-39.103
1/19/23,-39.453
1/18/23,-39.694
1/17/23,-39.912
1/16/23,-39.934
1/13/23,-39.678
1/12/23,-39.345
1/11/23,-39.048
1/10/23,-38.773
1/9/23,-38.591
1/6/23,-38.453
1/5/23,-38.355
1/4/23,-38.238
1/3/23,-38.074
12/30/22,-38.02
12/29/22,-38.063
12/28/22,-38.037
12/23/22,-37.894
12/22/22,-37.517
12/21/22,-36.921
12/20/22,-36.336
12/19/22,-35.852
12/16/22,-35.541
12/15/22,-35.456
12/14/22,-35.622
12/13/22,-35.598
12/12/22,-35.482
12/9/22,-34.843
12/8/22,-34.202
12/7/22,-33.536
12/6/22,-32.894
12/5/22,-32.3825
12/2/22,-32.481
12/1/22,-32.5705
11/30/22,-32.614
11/29/22,-32.8465
11/28/22,-32.9525
11/25/22,-32.8455
11/24/22,-32.5045
11/23/22,-32.0455
11/22/22,-31.5455
11/21/22,-31.0605
11/18/22,-30.6245
11/17/22,-30.3705
11/16/22,-30.2905
11/15/22,-30.2045
