Dates,Discount
8/21/23,-15.43
8/22/23,-15.885
8/23/23,-16.311
8/24/23,-16.691
8/25/23,-16.744
8/28/23,-16.892
8/29/23,-16.952
8/30/23,-17.058
8/31/23,-17.109
9/1/23,-17.056
9/4/23,-16.931
9/5/23,-16.733
9/6/23,-16.599
9/7/23,-16.364
9/8/23,-16.286
9/11/23,-16.295
9/12/23,-16.275
9/13/23,-16.216
9/14/23,-16.313
9/15/23,-16.298
9/18/23,-16.208
9/19/23,-16.113
9/20/23,-15.856
9/21/23,-15.856
9/22/23,-15.939
9/25/23,-16.166
9/26/23,-16.52
9/27/23,-16.444
9/28/23,-15.909
9/29/23,-15.578
10/2/23,-15.189
10/3/23,-14.136
10/4/23,-13.282
10/5/23,-14.646
10/6/23,-14.141
10/9/23,-13.637
10/10/23,-13.775
10/11/23,-14.544
10/12/23,-12.523
10/13/23,-12.655
10/16/23,-12.969
10/17/23,-13.37
10/18/23,-13.618
10/19/23,-14.647
10/20/23,-14.742
10/23/23,-14.511
10/24/23,-14.881
10/25/23,-15.216
10/26/23,-15.1
10/27/23,-15.795
10/30/23,-16.665
10/31/23,-16.375
11/1/23,-15.609
11/2/23,-15.459
11/3/23,-14.844
11/6/23,-14.127
11/7/23,-13.852
11/8/23,-13.893
11/9/23,-13.792
11/10/23,-13.802
11/13/23,-14.184
11/14/23,-14.417
11/15/23,-14.791
11/16/23,-16.152
11/17/23,-16.936
11/20/23,-17.053
11/21/23,-18.162
11/22/23,-19.436
11/23/23,-19.41
11/24/23,-19.686
11/27/23,-20.469
11/28/23,-20.342
11/29/23,-20.062
11/30/23,-19.595
12/1/23,-19.463
12/4/23,-19.349
12/5/23,-19.222
12/6/23,-19.044
12/7/23,-19.31
12/8/23,-19.518
12/11/23,-19.536
12/12/23,-19.549
12/13/23,-19.554
12/14/23,-19.572
12/15/23,-19.547
12/18/23,-19.532
12/19/23,-19.55
12/20/23,-19.47
12/21/23,-19.223
12/22/23,-19.129
12/25/23,-19.028
12/26/23,-18.981
12/27/23,-18.957
12/28/23,-19.171
12/29/23,-19.318
1/1/24,-19.466
1/2/24,-19.497
1/3/24,-19.779
1/4/24,-19.875
1/5/24,-19.606
1/8/24,-19.49
1/9/24,-19.189
1/10/24,-18.918
1/11/24,-18.85
1/12/24,-19.122
1/15/24,-19.041
1/16/24,-19.26
