commodity_group,departure_date,destination,volume,Date
Oil products,2022-04-16T00:00:00Z,EU,1.330864133,4/16/2022
Oil products,2022-04-17T00:00:00Z,EU,1.379198858,4/17/2022
Oil products,2022-04-18T00:00:00Z,EU,1.39826006,4/18/2022
Oil products,2022-04-19T00:00:00Z,EU,1.397385481,4/19/2022
Oil products,2022-04-20T00:00:00Z,EU,1.419124651,4/20/2022
Oil products,2022-04-21T00:00:00Z,EU,1.380876235,4/21/2022
Oil products,2022-04-22T00:00:00Z,EU,1.368404368,4/22/2022
Oil products,2022-04-23T00:00:00Z,EU,1.370690921,4/23/2022
Oil products,2022-04-24T00:00:00Z,EU,1.372258054,4/24/2022
Oil products,2022-04-25T00:00:00Z,EU,1.394231103,4/25/2022
Oil products,2022-04-26T00:00:00Z,EU,1.402774067,4/26/2022
Oil products,2022-04-27T00:00:00Z,EU,1.394611155,4/27/2022
Oil products,2022-04-28T00:00:00Z,EU,1.38745609,4/28/2022
Oil products,2022-04-29T00:00:00Z,EU,1.399299967,4/29/2022
Oil products,2022-04-30T00:00:00Z,EU,1.412718843,4/30/2022
Oil products,2022-05-01T00:00:00Z,EU,1.402975913,5/1/2022
Oil products,2022-05-02T00:00:00Z,EU,1.411578123,5/2/2022
Oil products,2022-05-03T00:00:00Z,EU,1.408588734,5/3/2022
Oil products,2022-05-04T00:00:00Z,EU,1.409649866,5/4/2022
Oil products,2022-05-05T00:00:00Z,EU,1.407434611,5/5/2022
Oil products,2022-05-06T00:00:00Z,EU,1.421433977,5/6/2022
Oil products,2022-05-07T00:00:00Z,EU,1.408926488,5/7/2022
Oil products,2022-05-08T00:00:00Z,EU,1.386956387,5/8/2022
Oil products,2022-05-09T00:00:00Z,EU,1.412724422,5/9/2022
Oil products,2022-05-10T00:00:00Z,EU,1.432472947,5/10/2022
Oil products,2022-05-11T00:00:00Z,EU,1.441710612,5/11/2022
Oil products,2022-05-12T00:00:00Z,EU,1.413820588,5/12/2022
Oil products,2022-05-13T00:00:00Z,EU,1.396302897,5/13/2022
Oil products,2022-05-14T00:00:00Z,EU,1.419142548,5/14/2022
Oil products,2022-05-15T00:00:00Z,EU,1.404337223,5/15/2022
Oil products,2022-05-16T00:00:00Z,EU,1.379355194,5/16/2022
Oil products,2022-05-17T00:00:00Z,EU,1.309234788,5/17/2022
Oil products,2022-05-18T00:00:00Z,EU,1.2550003,5/18/2022
Oil products,2022-05-19T00:00:00Z,EU,1.26106328,5/19/2022
Oil products,2022-05-20T00:00:00Z,EU,1.290827151,5/20/2022
Oil products,2022-05-21T00:00:00Z,EU,1.271122377,5/21/2022
Oil products,2022-05-22T00:00:00Z,EU,1.32884062,5/22/2022
Oil products,2022-05-23T00:00:00Z,EU,1.295347321,5/23/2022
Oil products,2022-05-24T00:00:00Z,EU,1.353712084,5/24/2022
Oil products,2022-05-25T00:00:00Z,EU,1.341977832,5/25/2022
Oil products,2022-05-26T00:00:00Z,EU,1.368808972,5/26/2022
Oil products,2022-05-27T00:00:00Z,EU,1.35441318,5/27/2022
Oil products,2022-05-28T00:00:00Z,EU,1.354536627,5/28/2022
Oil products,2022-05-29T00:00:00Z,EU,1.333222515,5/29/2022
Oil products,2022-05-30T00:00:00Z,EU,1.31164221,5/30/2022
Oil products,2022-05-31T00:00:00Z,EU,1.392833757,5/31/2022
Oil products,2022-06-01T00:00:00Z,EU,1.353746636,6/1/2022
Oil products,2022-06-02T00:00:00Z,EU,1.353392193,6/2/2022
Oil products,2022-06-03T00:00:00Z,EU,1.376564715,6/3/2022
Oil products,2022-06-04T00:00:00Z,EU,1.379190761,6/4/2022
Oil products,2022-06-05T00:00:00Z,EU,1.333421615,6/5/2022
Oil products,2022-06-06T00:00:00Z,EU,1.385224358,6/6/2022
Oil products,2022-06-07T00:00:00Z,EU,1.376071493,6/7/2022
Oil products,2022-06-08T00:00:00Z,EU,1.356764585,6/8/2022
Oil products,2022-06-09T00:00:00Z,EU,1.319038731,6/9/2022
Oil products,2022-06-10T00:00:00Z,EU,1.273513829,6/10/2022
Oil products,2022-06-11T00:00:00Z,EU,1.32660978,6/11/2022
Oil products,2022-06-12T00:00:00Z,EU,1.35110801,6/12/2022
Oil products,2022-06-13T00:00:00Z,EU,1.31530612,6/13/2022
Oil products,2022-06-14T00:00:00Z,EU,1.338077385,6/14/2022
Oil products,2022-06-15T00:00:00Z,EU,1.3753106,6/15/2022
Oil products,2022-06-16T00:00:00Z,EU,1.367374668,6/16/2022
Oil products,2022-06-17T00:00:00Z,EU,1.353870567,6/17/2022
Oil products,2022-06-18T00:00:00Z,EU,1.361568822,6/18/2022
Oil products,2022-06-19T00:00:00Z,EU,1.316039467,6/19/2022
Oil products,2022-06-20T00:00:00Z,EU,1.364618526,6/20/2022
Oil products,2022-06-21T00:00:00Z,EU,1.326267532,6/21/2022
Oil products,2022-06-22T00:00:00Z,EU,1.368363715,6/22/2022
Oil products,2022-06-23T00:00:00Z,EU,1.331429865,6/23/2022
Oil products,2022-06-24T00:00:00Z,EU,1.347132483,6/24/2022
Oil products,2022-06-25T00:00:00Z,EU,1.333807206,6/25/2022
Oil products,2022-06-26T00:00:00Z,EU,1.397015093,6/26/2022
Oil products,2022-06-27T00:00:00Z,EU,1.382901314,6/27/2022
Oil products,2022-06-28T00:00:00Z,EU,1.372854115,6/28/2022
Oil products,2022-06-29T00:00:00Z,EU,1.36219958,6/29/2022
Oil products,2022-06-30T00:00:00Z,EU,1.303739991,6/30/2022
Oil products,2022-07-01T00:00:00Z,EU,1.317852566,7/1/2022
Oil products,2022-07-02T00:00:00Z,EU,1.306574709,7/2/2022
Oil products,2022-07-03T00:00:00Z,EU,1.332825687,7/3/2022
Oil products,2022-07-04T00:00:00Z,EU,1.302952504,7/4/2022
Oil products,2022-07-05T00:00:00Z,EU,1.323681401,7/5/2022
Oil products,2022-07-06T00:00:00Z,EU,1.277736651,7/6/2022
Oil products,2022-07-07T00:00:00Z,EU,1.272964582,7/7/2022
Oil products,2022-07-08T00:00:00Z,EU,1.274997054,7/8/2022
Oil products,2022-07-09T00:00:00Z,EU,1.283652213,7/9/2022
Oil products,2022-07-10T00:00:00Z,EU,1.303031144,7/10/2022
Oil products,2022-07-11T00:00:00Z,EU,1.2791584,7/11/2022
Oil products,2022-07-12T00:00:00Z,EU,1.280028704,7/12/2022
Oil products,2022-07-13T00:00:00Z,EU,1.296376239,7/13/2022
Oil products,2022-07-14T00:00:00Z,EU,1.291467856,7/14/2022
Oil products,2022-07-15T00:00:00Z,EU,1.257958975,7/15/2022
Oil products,2022-07-16T00:00:00Z,EU,1.288966713,7/16/2022
Oil products,2022-07-17T00:00:00Z,EU,1.351511598,7/17/2022
Oil products,2022-07-18T00:00:00Z,EU,1.342999112,7/18/2022
Oil products,2022-07-19T00:00:00Z,EU,1.359409411,7/19/2022
Oil products,2022-07-20T00:00:00Z,EU,1.322317582,7/20/2022
Oil products,2022-07-21T00:00:00Z,EU,1.313580684,7/21/2022
Oil products,2022-07-22T00:00:00Z,EU,1.255749544,7/22/2022
Oil products,2022-07-23T00:00:00Z,EU,1.249823484,7/23/2022
Oil products,2022-07-24T00:00:00Z,EU,1.229315871,7/24/2022
Oil products,2022-07-25T00:00:00Z,EU,1.20540905,7/25/2022
